年份,主队名称,客队名称,阶段,阶段类型,参赛次数差,比赛场次差,场均进球差,场均失球差,净胜球差,成绩排名差,近3届场均进球差,近3届胜率差,场均净胜球差,淘汰赛胜率差,小组赛胜率差,场均半场进球差,半场胜率差,交锋胜场,交锋平局,交锋负场,交锋净胜球,交锋总场次,交锋胜率,胜负结果,胜负编码
1934,Germany,Austria,三四名决赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1934,Italy,Czechoslovakia,决赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1938,Switzerland,Germany,小组赛,0,0,-2,-0.25,0.5,-3,-40.0,-0.25,0.0,-0.75,0.0,0.0,0.5,0.25,0,0,0,0,0,0.0,平局,0
1938,Hungary,Dutch East Indies,小组赛,0,1,2,2.5,2.0,1,40.0,2.5,1.0,0.5,1.0,0.0,1.0,0.0,0,0,0,0,0,0.0,主队胜,1
1938,France,Belgium,小组赛,0,0,1,0.8333333333333334,-1.5,7,0.0,0.8333333333333334,0.0,2.3333333333333335,0.0,0.0,0.08333333333333337,-0.08333333333333331,0,0,0,0,0,0.0,主队胜,1
1938,Cuba,Romania,小组赛,0,-2,-3,-1.3333333333333333,-2.3333333333333335,3,-10.0,-1.3333333333333333,-1.0,1.0000000000000002,-1.0,-1.0,-0.6666666666666666,-0.6666666666666666,0,0,0,0,0,0.0,平局,0
1938,Italy,Norway,小组赛,0,1,5,2.4,0.6,9,100.0,2.4,0.8,1.7999999999999998,0.8,0.0,1.0,0.6,0,0,0,0,0,0.0,主队胜,1
1938,Brazil,Poland,小组赛,0,2,3,2.0,1.6666666666666667,1,10.0,2.0,1.0,0.33333333333333326,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1938,Czechoslovakia,Netherlands,小组赛,0,0,3,0.25,-1.5,4,100.0,0.25,0.0,1.75,0.0,0.0,-0.5,0.25,0,0,0,0,0,0.0,主队胜,1
1938,Cuba,Romania,小组赛,0,-2,-3,-1.3333333333333333,-2.3333333333333335,3,-10.0,-1.3333333333333333,-1.0,1.0000000000000002,-1.0,-1.0,-0.6666666666666666,-0.6666666666666666,0,0,0,0,0,0.0,主队胜,1
1938,Switzerland,Germany,小组赛,0,0,-2,-0.25,0.5,-3,-40.0,-0.25,0.0,-0.75,0.0,0.0,0.5,0.25,0,0,0,0,0,0.0,主队胜,1
1938,Brazil,Czechoslovakia,1/4决赛,1,1,-1,-0.25,0.16666666666666674,-2,-90.0,-0.25,0.0,-0.41666666666666674,0.0,1.0,-0.16666666666666669,0.08333333333333331,0,0,0,0,0,0.0,平局,0
1938,Hungary,Switzerland,1/4决赛,1,0,0,0.0,-0.5,1,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,-0.5,0,0,0,0,0,0.0,主队胜,1
1938,Sweden,Cuba,1/4决赛,1,1,2,2.0,2.0,0,40.0,2.0,1.0,0.0,1.0,0.0,0.5,0.0,0,0,0,0,0,0.0,主队胜,1
1938,Italy,France,1/4决赛,1,-1,1,0.8999999999999999,-0.9,9,90.0,0.8999999999999999,-0.19999999999999996,1.7999999999999998,-0.19999999999999996,-1.0,0.25,0.35,0,0,0,0,0,0.0,主队胜,1
1938,Brazil,Czechoslovakia,1/4决赛,1,1,-1,-0.25,0.16666666666666674,-2,-90.0,-0.25,0.0,-0.41666666666666674,0.0,1.0,-0.16666666666666669,0.08333333333333331,0,0,0,0,0,0.0,主队胜,1
1938,Hungary,Sweden,半决赛,1,0,0,0.5,0.0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0,0,0,0,0,0.0,主队胜,1
1938,Italy,Brazil,半决赛,1,-1,2,0.3999999999999999,-1.0666666666666669,8,90.0,0.3999999999999999,-0.19999999999999996,1.4666666666666666,-0.19999999999999996,-1.0,0.6666666666666667,0.26666666666666666,0,0,0,0,0,0.0,主队胜,1
1938,Brazil,Sweden,三四名决赛,1,1,1,0.0,-0.33333333333333326,1,-30.0,0.0,0.0,0.33333333333333326,0.0,1.0,-0.16666666666666669,0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1938,Italy,Hungary,决赛,1,0,3,-0.10000000000000009,-1.4,8,60.0,-0.10000000000000009,-0.19999999999999996,1.2999999999999998,-0.19999999999999996,0.0,0.0,0.6,0,0,0,0,0,0.0,主队胜,1
1950,Brazil,Mexico,小组赛,0,2,5,1.1666666666666667,-2.333333333333333,13,70.0,1.1666666666666667,-0.125,3.5,0.8,0.0,-0.08333333333333331,0.125,0,0,0,0,0,0.0,主队胜,1
1950,England,Chile,小组赛,0,-1,-3,-1.6666666666666667,-1.0,-2,-10.0,-1.6666666666666667,-1.0,-0.6666666666666667,0.0,-1.0,-0.6666666666666666,-0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1950,Spain,USA,小组赛,0,-1,-1,-0.6666666666666667,-2.25,6,-20.0,-0.6666666666666667,-0.33333333333333337,1.5833333333333333,-0.33333333333333337,-1.0,0.0,-0.16666666666666669,0,0,0,0,0,0.0,主队胜,1
1950,Sweden,Italy,小组赛,0,0,-4,0.44444444444444464,1.7111111111111112,-13,-20.0,0.44444444444444464,0.11111111111111116,-1.2666666666666666,0.125,-1.0,0.6000000000000001,-0.0444444444444444,0,0,0,0,0,0.0,主队胜,1
1950,Yugoslavia,Switzerland,小组赛,0,-1,-2,0.3333333333333335,0.3333333333333335,0,20.0,0.3333333333333335,0.19999999999999996,0.0,0.0,0.5,0.19999999999999996,0.1333333333333333,0,0,0,0,0,0.0,主队胜,1
1950,Brazil,Switzerland,小组赛,0,1,3,0.5,0.0,4,40.0,0.5,0.07499999999999996,0.5,-0.19999999999999996,0.5,-0.55,-0.07500000000000001,0,0,0,0,0,0.0,平局,0
1950,Yugoslavia,Mexico,小组赛,0,0,0,1.0000000000000002,-1.9999999999999996,9,50.0,1.0000000000000002,0.0,3.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1950,Spain,Chile,小组赛,0,0,0,-0.3333333333333335,0.0,-1,30.0,-0.3333333333333335,-0.33333333333333337,-0.3333333333333335,0.6666666666666666,-1.0,0.33333333333333337,0.0,0,0,0,0,0,0.0,主队胜,1
1950,USA,England,小组赛,0,2,4,2.0,3.25,-5,60.0,2.0,1.0,-1.25,1.0,1.0,1.0,0.5,0,0,0,0,0,0.0,主队胜,1
1950,Sweden,Paraguay,小组赛,0,1,3,2.5,1.1,4,70.0,2.5,0.0,1.4,1.0,-1.0,1.1,-0.09999999999999998,0,0,0,0,0,0.0,平局,0
1950,Brazil,Yugoslavia,小组赛,0,2,5,0.16666666666666652,-0.3333333333333335,4,20.0,0.16666666666666652,-0.125,0.5,-0.19999999999999996,0.0,-0.75,-0.20833333333333331,0,0,1,-1,1,0.0,主队胜,1
1950,Spain,England,小组赛,0,1,3,1.3333333333333333,1.0,1,40.0,1.3333333333333333,0.6666666666666666,0.33333333333333326,0.6666666666666666,0.0,1.0,0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1950,Italy,Paraguay,小组赛,0,1,7,2.0555555555555554,-0.6111111111111112,17,90.0,2.0555555555555554,-0.11111111111111116,2.6666666666666665,0.875,0.0,0.5,-0.05555555555555558,0,0,0,0,0,0.0,主队胜,1
1950,Uruguay,Bolivia,小组赛,0,0,2,3.75,-3.25,20,90.0,3.75,0.0,7.0,1.0,0.0,2.0,0.5,0,0,0,0,0,0.0,主队胜,1
1950,Chile,USA,小组赛,0,-1,-1,-0.33333333333333326,-2.25,7,-50.0,-0.33333333333333326,0.0,1.9166666666666667,-1.0,0.0,-0.33333333333333337,-0.16666666666666669,0,0,0,0,0,0.0,主队胜,1
1950,Switzerland,Mexico,小组赛,0,1,2,0.6666666666666667,-2.333333333333333,9,30.0,0.6666666666666667,-0.19999999999999996,3.0,1.0,-0.5,0.46666666666666673,0.2,0,0,0,0,0,0.0,主队胜,1
1950,Uruguay,Spain,小组赛,0,0,1,2.416666666666667,-0.25,11,60.0,2.416666666666667,0.33333333333333337,2.666666666666667,0.33333333333333337,1.0,1.0,0.16666666666666669,0,0,0,0,0,0.0,平局,0
1950,Brazil,Sweden,小组赛,0,1,3,-0.5,-0.6000000000000001,2,0.0,-0.5,-0.125,0.10000000000000009,-0.19999999999999996,1.0,-1.35,-0.275,1,0,0,2,1,1.0,主队胜,1
1950,Brazil,Spain,小组赛,0,2,5,1.1666666666666667,1.0,3,40.0,1.1666666666666667,0.20833333333333337,0.16666666666666674,0.13333333333333341,1.0,-0.75,-0.20833333333333331,0,0,1,-2,1,0.0,主队胜,1
