,总进球数,场均进球,参赛队伍数量,总比赛场次,总观众人数
总进球数,1.0,-0.38737655270146887,0.8662007509563375,0.8762011905167131,0.3606384671376229
场均进球,-0.38737655270146887,1.0,-0.610145002024795,-0.7616647924924701,-0.33451668323537126
参赛队伍数量,0.8662007509563375,-0.610145002024795,1.0,0.949163861744744,0.11968020700637841
总比赛场次,0.8762011905167131,-0.7616647924924701,0.949163861744744,1.0,0.3268078804203979
总观众人数,0.3606384671376229,-0.33451668323537126,0.11968020700637841,0.3268078804203979,1.0
